term_or_phrase,common_abbreviation,type,chinese,category,scenario,definition_en,definition_cn,example_sentence,translation,difficulty,source_section,knowledge_source,standard_classification,business_domain,term_frequency_level,business_scenario
investment in an associate,,phrase,对联营企业的投资,Equity method,investment note,"investment in an associate is a professional expression used in IFRS/HKFRS financial reporting, audit, valuation or disclosure contexts.",对联营企业的投资，是IFRS/HKFRS财务报告、审计、估值或披露语境中的专业表达。,The financial risk note explains exposure arising from investment in an associate.,财务风险附注解释了对联营企业投资所产生的风险敞口。,Medium,IFRS_HKFRS_RAG_完整版术语库.xlsx/RAG_Terms row 468; IAS 28 | example: Illust_FS(12.25).txt: line 2699 | example: isg-handbook-2025-ifrs-compared-to-us-gaap.pdf.coredownload.txt: line 9222,IFRS/HKFRS standards term library,IAS 28,Associates / Joint ventures,4 - High,Financial reporting
share of other comprehensive income,OCI,phrase,应占其他综合收益,Equity method,OCI line item,"share of other comprehensive income is a professional expression used in IFRS/HKFRS financial reporting, audit, valuation or disclosure contexts.",应占其他综合收益，是IFRS/HKFRS财务报告、审计、估值或披露语境中的专业表达。,Management's conclusion on share of other comprehensive income is reviewed before issuance.,管理层关于应占其他综合收益的结论在发布前须经审阅。,Medium,IFRS_HKFRS_RAG_完整版术语库.xlsx/RAG_Terms row 471; IAS 28 | example: Model Accounts.txt: line 965 | example: Illust_FS(12.25).txt: line 1896,IFRS/HKFRS standards term library,IAS 28,Associates / Joint ventures,4 - High,Financial reporting
share of profit or loss,,phrase,应占损益,Equity method,P&L line item,"share of profit or loss is a professional expression used in IFRS/HKFRS financial reporting, audit, valuation or disclosure contexts.",应占损益，是IFRS/HKFRS财务报告、审计、估值或披露语境中的专业表达。,Derecognition analysis considers whether share of profit or loss remains on the books.,终止确认分析考虑应占损益是否仍保留在账上。,Medium,IFRS_HKFRS_RAG_完整版术语库.xlsx/RAG_Terms row 470; IAS 28 | example: isg-handbook-2025-ifrs-compared-to-us-gaap.pdf.coredownload.txt: line 13246,IFRS/HKFRS standards term library,IAS 28,Associates / Joint ventures,4 - High,Financial reporting
significant influence,,phrase,重大影响,Equity method,relationship assessment | associate assessment,"significant influence is a professional expression used in IFRS/HKFRS financial reporting, audit, valuation or disclosure contexts.",重大影响，是IFRS/HKFRS财务报告、审计、估值或披露语境中的专业表达。,KMP relationships are treated as being equivalent in strength to significant influence.,关键管理人员的关系被视为在效力上等同于重大影响。,Medium,IFRS_HKFRS_RAG_完整版术语库.xlsx/RAG_Terms row 450; IAS 24 | IFRS_HKFRS_RAG_完整版术语库.xlsx/RAG_Terms row 466; IAS 28 | example: Illust_FS(12.25).txt: line 4197 | example: Illust_FS(12.25).txt: line 4183,IFRS/HKFRS standards term library,IAS 24,Related parties,5 - Very high / core,Financial reporting
upstream transactions,,phrase,上游交易,Equity method,transactions with associates/JVs,"upstream transactions is a professional expression used in IFRS/HKFRS financial reporting, audit, valuation or disclosure contexts.",上游交易，是IFRS/HKFRS财务报告、审计、估值或披露语境中的专业表达。,Preparers assess upstream transactions each reporting period.,编制人员在每个报告期评估上游交易。,Medium,IFRS_HKFRS_RAG_完整版术语库.xlsx/RAG_Terms row 472; IAS 28,IFRS/HKFRS standards term library,IAS 28,Associates / Joint ventures,3 - Medium,Financial reporting
Prior period error,,phrase,前期差错,Errors,restatement; correction | IAS 8,"Prior period error is a professional expression used in accounting policies, accounting estimates or error correction under IAS 8.",前期差错，是IAS 8下会计政策、会计估计或差错更正中的专业表达。,Prior period errors are corrected retrospectively unless it is impracticable to determine the period-specific effects.,前期差错应追溯更正，除非无法确定该差错对各特定期间的影响。,Medium,IFRS_HKFRS_RAG_完整版术语库.xlsx/RAG_Terms row 372; IAS 8 | IFRS专业词汇.xlsx/Sheet1 row 26,IFRS/HKFRS standards term library,IAS 8,Accounting policies / Estimates,3 - Medium,Financial reporting
retrospective restatement,,phrase,追溯重述,Errors,correction of prior-period error | IAS 8,"retrospective restatement is a professional expression used in accounting policies, accounting estimates or error correction under IAS 8.",追溯重述，是IAS 8下会计政策、会计估计或差错更正中的专业表达。,The tax reconciliation highlights the effect of retrospective restatement.,税务调节表突出了追溯重述的影响。,Medium,IFRS_HKFRS_RAG_完整版术语库.xlsx/RAG_Terms row 374; IAS 8 | IFRS专业词汇.xlsx/Sheet1 row 28 | example: Illust_FS(12.25).txt: line 1967,IFRS/HKFRS standards term library,IAS 8,Accounting policies / Estimates,5 - Very high / core,Financial reporting
copyrights,,term,版权,Examples,intangible assets,copyrights is a professional expression used in accounting for identifiable non-physical assets.,版权，是可辨认无实物形态资产会计中的专业表达。,The lease schedule tracks movements in copyrights.,租赁日程表追踪着版权资产的变动情况。,Medium,IFRS_HKFRS_RAG_完整版术语库.xlsx/RAG_Terms row 547; IAS 38 | example: isg-handbook-2025-ifrs-compared-to-us-gaap.pdf.coredownload.txt: line 18120,IFRS/HKFRS standards term library,IAS 38,Intangible assets,4 - High,Financial reporting
licences,,term,许可权,Examples,intangible assets,licences is a professional expression used in accounting for identifiable non-physical assets.,许可权，是可辨认无实物形态资产会计中的专业表达。,Classification decisions may depend on the substance of licences.,分类判断可能取决于许可证的经济实质。,Medium,IFRS_HKFRS_RAG_完整版术语库.xlsx/RAG_Terms row 545; IAS 38 | example: isg-handbook-2025-ifrs-compared-to-us-gaap.pdf.coredownload.txt: line 14473 | example: isg-2025-insights-an-overview.txt: line 1373,IFRS/HKFRS standards term library,IAS 38,Intangible assets,5 - Very high / core,Financial reporting
patents,,term,专利权,Examples,intangible assets,patents is a professional expression used in accounting for identifiable non-physical assets.,专利权，是可辨认无实物形态资产会计中的专业表达。,The note gives context for changes in patents.,附注说明了专利变动的背景情况。,Medium,IFRS_HKFRS_RAG_完整版术语库.xlsx/RAG_Terms row 546; IAS 38 | example: isg-2026-ifs.txt: line 6961 | example: Illust_FS(12.25).txt: line 2887,IFRS/HKFRS standards term library,IAS 38,Intangible assets,5 - Very high / core,Financial reporting
acquisition-related costs,,phrase,收购相关成本,Expense,M&A transaction costs,"acquisition-related costs is a professional expression used in business combination accounting, including identifying the acquirer, measuring consideration or recognising acquired assets and liabilities.",收购相关成本，是企业合并会计中的专业表达，通常涉及识别购买方、计量对价或确认取得的资产和负债。,The revenue policy sets out how acquisition-related costs is assessed.,收入政策载明了收购相关成本的评估方式。,Medium,IFRS_HKFRS_RAG_完整版术语库.xlsx/RAG_Terms row 85; IFRS 3 | example: isg-handbook-2025-ifrs-compared-to-us-gaap.pdf.coredownload.txt: line 4357,IFRS/HKFRS standards term library,IFRS 3,Business combinations,4 - High,Financial reporting
commercial viability,,phrase,商业可行性,Extractive activities,mine development decision,"commercial viability is a professional expression used in valuation or fair value measurement, including inputs, techniques or measurement outcomes.",商业可行性，是估值或公允价值计量中的专业表达，通常涉及输入值、估值技术或计量结果。,The segment note reconciles commercial viability to reported amounts.,分部附注将商业可行性调节至报告金额。,Medium,IFRS_HKFRS_RAG_完整版术语库.xlsx/RAG_Terms row 107; IFRS 6 | example: isg-handbook-2025-ifrs-compared-to-us-gaap.pdf.coredownload.txt: line 22594,IFRS/HKFRS standards term library,IFRS 6,Fair value / Valuation,4 - High,Valuation
expenditure on exploration and evaluation,,phrase,勘探及评价支出,Extractive activities,capitalisation policy,"expenditure on exploration and evaluation is a professional expression used in valuation or fair value measurement, including inputs, techniques or measurement outcomes.",勘探及评价支出，是估值或公允价值计量中的专业表达，通常涉及输入值、估值技术或计量结果。,The policy note states when expenditure on exploration and evaluation is recognised.,政策说明载明了勘探及评价支出的确认时点。,Medium,IFRS_HKFRS_RAG_完整版术语库.xlsx/RAG_Terms row 108; IFRS 6,IFRS/HKFRS standards term library,IFRS 6,Fair value / Valuation,1 - Very low / niche,Valuation
exploration and evaluation assets,,phrase,勘探及评价资产,Extractive activities,mining; oil and gas,"exploration and evaluation assets is a professional expression used in valuation or fair value measurement, including inputs, techniques or measurement outcomes.",勘探及评价资产，是估值或公允价值计量中的专业表达，通常涉及输入值、估值技术或计量结果。,The accountants' report presents the basis used for exploration and evaluation assets.,会计师报告列示了勘探及评价资产所采用的依据。,Medium,IFRS_HKFRS_RAG_完整版术语库.xlsx/RAG_Terms row 104; IFRS 6,IFRS/HKFRS standards term library,IFRS 6,Fair value / Valuation,1 - Very low / niche,Valuation
exploration for and evaluation of mineral resources,,phrase,矿产资源勘探及评价,Extractive activities,mining; oil and gas,"exploration for and evaluation of mineral resources is a professional expression used in valuation or fair value measurement, including inputs, techniques or measurement outcomes.",矿产资源勘探及评价，是估值或公允价值计量中的专业表达，通常涉及输入值、估值技术或计量结果。,Recognition criteria are assessed before recording exploration for and evaluation of mineral resources.,在确认矿产资源勘探及评价支出前，应先评估确认条件。,Medium,IFRS_HKFRS_RAG_完整版术语库.xlsx/RAG_Terms row 105; IFRS 6,IFRS/HKFRS standards term library,IFRS 6,Fair value / Valuation,1 - Very low / niche,Valuation
technical feasibility,,phrase,技术可行性,Extractive activities,mineral project assessment,"technical feasibility is a professional expression used in valuation or fair value measurement, including inputs, techniques or measurement outcomes.",技术可行性，是估值或公允价值计量中的专业表达，通常涉及输入值、估值技术或计量结果。,The closing checklist includes a review of technical feasibility.,结账清单包括对技术可行性的复核。,Medium,IFRS_HKFRS_RAG_完整版术语库.xlsx/RAG_Terms row 106; IFRS 6 | example: isg-handbook-2025-ifrs-compared-to-us-gaap.pdf.coredownload.txt: line 7365,IFRS/HKFRS standards term library,IFRS 6,Fair value / Valuation,4 - High,Valuation
